"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BLUE/BY";"WBTOR1";"WBTOR1";"WBTOR1";"RCA connectors according to JEITA RC-5231 Cinch";"";"WBTOR 1 BLACK";"1200146";"98K2588";
"CSYNC";"WBTOR1";"WBTOR1";"WBTOR1";"RCA connectors according to JEITA RC-5231 Cinch";"";"WBTOR 1 BLACK";"1200146";"98K2588";
"D1";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"GREEN/Y";"WBTOR1";"WBTOR1";"WBTOR1";"RCA connectors according to JEITA RC-5231 Cinch";"";"WBTOR 1 BLACK";"1200146";"98K2588";
"R1";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"RED/RY";"WBTOR1";"WBTOR1";"WBTOR1";"RCA connectors according to JEITA RC-5231 Cinch";"";"WBTOR 1 BLACK";"1200146";"98K2588";
"SOG";"";"EG1218S";"EG1218";"SLIDING SWITCH";"";"";"";"";
"VGA";"";"618015331023";"618015331023";"WR-DSUB Male High Density Angled PCB Connector with Hex Screw, 15 Pins=>Code : Con_I-O_DSUB_PCB_Male_w-screw_618015331023";"";"";"";"";
